Código,Apartamento,Bairro,Zona,Quartos,Banheiros,Vagas,Metragem,Valor_da_Venda,valor_m2,media_valor_m2_bairro,media_valor_m2_zona
133931,Apartamento de 126m² com 03 suítes à venda   Jardim Botânico,Jardim Botanico,Zona Sul,3,4,2,126.0,1049000.0,8325.39682539683,7403.36272123417,7019.92781217448
238496,Apartamento 132m² com 03 suítes à venda   Jardim Botânico,Jardim Botanico,Zona Sul,3,5,2,132.0,1050000.0,7954.54545454546,7403.36272123417,7019.92781217448
235040,Apartamento de 151m² com 03 suítes para venda   Jardim Irajá,Jardim Iraja,Zona Sul,3,5,1,151.0,1050000.0,6953.64238410596,5843.60369977321,7019.92781217448
217499,Apartamento de 131m² com 03 suítes à venda   Jardim Olhos D`Água,Jardim Olhos DAgua,Zona Sul,3,4,3,131.0,1050000.0,8015.26717557252,9706.16858313729,7019.92781217448
169745,Apartamento de 72m² com 01 suíte à venda   Jardim Botânico,Jardim Botanico,Zona Sul,1,2,2,72.0,1050000.0,14583.3333333333,7403.36272123417,7019.92781217448
92537,Apartamento de 131m² com 03 quartos para venda   Nova Aliança,Nova Alianca,Zona Sul,3,4,2,131.0,1050000.0,8015.26717557252,7235.27815404702,7019.92781217448
187214,Apartamento de 118m² com 03 suítes à venda   Jardim Saint Gerard,Jardim Saint Gerard,Zona Sul,3,4,2,118.0,1059324.14,8977.32322033898,9516.46996323619,7019.92781217448
203357,Apartamento de 123m² com 3 quartos   jardim Irajá,Jardim Botanico,Zona Sul,3,3,2,123.0,1060000.0,8617.88617886179,7403.36272123417,7019.92781217448
144548,Apartamento de 131m² com 03 suítes para locação _ Jardim Nova Aliança,Nova Alianca,Zona Sul,3,5,2,131.0,1060000.0,8091.60305343512,7235.27815404702,7019.92781217448
196637,Apartamento de 252m² com 04 quartos à venda   Centro,Centro,Centro,4,4,3,252.0,1060000.0,4206.34920634921,3969.0889863009,4114.37759196461
221762,Apartamento de 100m² com 03 quartos sendo 01 suíte à venda   Condomínio Itamaraty,Condominio Itamaraty,Zona Oeste,3,3,2,100.0,1065000.0,10650.0,5336.72097624817,4568.83198282477
81425,Apartamento de 139m² com 03 suítes para locação e venda   Bosque das Juritis,Bosque das Juritis,Zona Sul,3,5,2,139.0,1065000.0,7661.87050359712,8028.33244392152,7019.92781217448
118910,Apartamento de 133m² com 03 quartos à venda   Nova Aliança,Nova Alianca,Zona Sul,3,5,2,133.0,1066000.0,8015.03759398496,7235.27815404702,7019.92781217448
224453,Apartamento de 126m² com 03 suítes à venda   Jardim Olhos D`Água,Jardim Olhos DAgua,Zona Sul,3,4,2,126.0,1066945.0,8467.81746031746,9706.16858313729,7019.92781217448
239864,Apartamento de 132m² com 03 suítes à venda   Jardim Botânico,Jardim Botanico,Zona Sul,3,4,2,132.0,1070000.0,8106.06060606061,7403.36272123417,7019.92781217448
239480,Apartamento de 137m² com 03 suítes para locação e venda   Jardim Irajá,Jardim Iraja,Zona Sul,3,5,2,137.0,1080000.0,7883.21167883212,5843.60369977321,7019.92781217448
214910,Apartamento de 202m² com 04 quartos para venda e locação   Jardim Irajá,Jardim Iraja,Zona Sul,4,5,3,202.0,1080000.0,5346.53465346535,5843.60369977321,7019.92781217448
223526,Apartamento de 111m² com 02 quartos sendo 01 suíte para venda   Jardim Olhos D`Água,Jardim Olhos DAgua,Zona Sul,2,2,2,111.0,1080000.0,9729.72972972973,9706.16858313729,7019.92781217448
234455,Apartamento de 139m² com 03 suítes á venda   Bosque das Juritis,Bosque das Juritis,Zona Sul,3,5,2,139.0,1080000.0,7769.78417266187,8028.33244392152,7019.92781217448
203699,Apartamento de 151m² com 03 suítes à venda   Jardim Olhos D`Água II,Jardim Olhos DAgua,Zona Sul,3,5,2,151.0,1080000.0,7152.3178807947,9706.16858313729,7019.92781217448
187220,Apartamento de 118m² com 03 suítes à venda   Jardim Saint Gerard,Jardim Saint Gerard,Zona Sul,3,4,2,118.0,1081540.8,9165.6,9516.46996323619,7019.92781217448
224921,Apartamento de 135m² com 03 suítes para locação e venda   Bosque das Juritis,Bosque das Juritis,Zona Sul,3,4,3,135.0,1089000.0,8066.66666666667,8028.33244392152,7019.92781217448
214967,Apartamento de 113m² com 03 suítes à venda   Jardim Olhos D`Água II,Jardim Olhos DAgua,Zona Sul,3,4,2,113.0,1091310.0,9657.61061946903,9706.16858313729,7019.92781217448
163508,Apartamento de 126m² com 03 quartos à venda   Jardim Olhos D`Água II,Jardim Olhos DAgua,Zona Sul,3,4,2,126.0,1096978.9,8706.18174603175,9706.16858313729,7019.92781217448
245603,Apartamento de 135m² com 03 suítes à venda   Bosque das Juritis,Bosque das Juritis,Zona Sul,4,5,2,135.0,1100000.0,8148.14814814815,8028.33244392152,7019.92781217448
244397,Apartamento de 132m² com 03 suítes para venda e locação   Jardim Olhos D` Água,Jardim Olhos DAgua,Zona Sul,3,4,3,132.0,1100000.0,8333.33333333333,9706.16858313729,7019.92781217448
216764,Apartamento de 107m² com 04 quartos para locação   Jardim Botânico,Jardim Botanico,Zona Sul,4,3,2,107.0,1100000.0,10280.3738317757,7403.36272123417,7019.92781217448
215852,Apartamento de 100m² com 03 quartos para locação   Jardim Botânico,Jardim Botanico,Zona Sul,3,3,2,100.0,1100000.0,11000.0,7403.36272123417,7019.92781217448
211025,Apartamento de 106m² com 03 quartos para locação   Jardim Botânico,Jardim Botanico,Zona Sul,3,3,2,106.0,1100000.0,10377.358490566,7403.36272123417,7019.92781217448
209360,Apartamento de 112m² com 02 suítes para locação e venda   Bosque das Juritis,Bosque das Juritis,Zona Sul,2,3,2,112.0,1100000.0,9821.42857142857,8028.33244392152,7019.92781217448
207821,Apartamento de 180m² com 03 quartos à venda   Jardim Irajá,Jardim Iraja,Zona Sul,3,4,2,180.0,1100000.0,6111.11111111111,5843.60369977321,7019.92781217448
197624,Apartamento de 442m² com 04 quartos para locação e venda   Centro,Centro,Centro,4,5,4,442.0,1100000.0,2488.68778280543,3969.0889863009,4114.37759196461
167921,Apartamento de 113m² com 03quartos para venda   Jardim Olhos d`água,Jardim Olhos DAgua,Zona Sul,3,3,2,113.0,1100000.0,9734.51327433628,9706.16858313729,7019.92781217448
157028,Apartamento de 118m² com 03 suítes à venda   Jardim Olhos D`Água,Jardim Olhos DAgua,Zona Sul,3,5,2,118.0,1100000.0,9322.03389830508,9706.16858313729,7019.92781217448
152153,Apartamento de 03 quartos para venda   Parque dos Bandeirantes,Parque dos Bandeirantes,Zona Leste,3,3,2,158.0,1100000.0,6962.0253164557,4072.45658506483,4646.24632076016
133478,Apartamento de 279m² com 04 quartos   Centro,Centro,Centro,4,4,3,279.0,1100000.0,3942.6523297491,3969.0889863009,4114.37759196461
111635,Apartamento de 118m² com 03 suítes à venda   Jardim Saint Gerard,Jardim Saint Gerard,Zona Sul,4,3,2,118.0,1100000.0,9322.03389830508,9516.46996323619,7019.92781217448
96611,Apartamento de 176m² com 03 quartos à venda   Jardim São Luiz,Jardim Sao Luiz,Zona Sul,3,4,3,176.0,1100000.0,6250.0,5775.49648772587,7019.92781217448
192131,Apartamento de 100m² com 2 suítes para venda e locação   Jardim Nova Aliança,Nova Alianca,Zona Sul,2,3,2,100.0,1100000.0,11000.0,7235.27815404702,7019.92781217448
223538,Apartamento de 134m² com 03 suítes à venda   Jardim Olhos D`Água,Jardim Olhos DAgua,Zona Sul,3,5,2,134.0,1106730.0,8259.17910447761,9706.16858313729,7019.92781217448
111689,Apartamento de 118m² com 03 suítes à venda   Jardim Saint Gerard,Jardim Saint Gerard,Zona Sul,3,4,2,118.0,1107475.29,9385.38381355932,9516.46996323619,7019.92781217448
184151,Apartamento de 131m² com 03 suítes à venda   Jardim Olhos D`Água,Jardim Olhos DAgua,Zona Sul,3,4,2,131.0,1113000.0,8496.18320610687,9706.16858313729,7019.92781217448
220601,Apartamento de 143m² com 03 suítes para locação e venda   Nova Aliança,Nova Alianca,Zona Sul,3,5,2,143.0,1115000.0,7797.2027972028,7235.27815404702,7019.92781217448
138995,Apartamento de 134m² com 03 suítes à venda   Jardim Olhos D`Água II,Jardim Olhos DAgua,Zona Sul,3,3,2,134.0,1115775.0,8326.67910447761,9706.16858313729,7019.92781217448
168197,Apartamento de 124m² com 03 suítes à venda   Jardim Canadá,Bonfim Paulista,Zona Sul,3,4,3,124.0,1116751.72,9006.06225806452,8197.59279884853,7019.92781217448
163265,Apartamento de 134m² com 04 quartos à venda   Jardim Olhos D`Água II,Jardim Olhos DAgua,Zona Sul,4,3,2,134.0,1133325.0,8457.64925373134,9706.16858313729,7019.92781217448
107810,Apartamento de 155m² com 03 suítes à venda   Bosque das Juritis,Bosque das Juritis,Zona Sul,3,5,3,155.0,1139000.0,7348.38709677419,8028.33244392152,7019.92781217448
240650,Apartamento de 127m² com 03 suítes à venda   Jardim Botânico,Jardim Botanico,Zona Sul,3,4,2,127.0,1140000.0,8976.37795275591,7403.36272123417,7019.92781217448
188027,Apartamento de 122m² com 03 quartos à venda   Jardim Ilhas do Sul,Jardim Ilhas do Sul,Zona Sul,3,4,2,122.0,1148402.12,9413.13213114754,8797.52735990227,7019.92781217448
237476,Apartamento de 132m² com 03 suítes à venda  Jardim Botânico,Jardim Botanico,Zona Sul,3,4,2,132.0,1150000.0,8712.12121212121,7403.36272123417,7019.92781217448
233153,Apartamento de 110m² com 03 suítes à venda   Jardim Olhos D`Água,Jardim Olhos DAgua,Zona Sul,3,4,2,110.0,1150000.0,10454.5454545455,9706.16858313729,7019.92781217448
230201,Apartamento padrão de 158m² com 03 suítes à venda   Jardim Botânico,Jardim Botanico,Zona Sul,3,5,2,158.0,1150000.0,7278.48101265823,7403.36272123417,7019.92781217448
119699,Apartamento garden de 184m² com 03 suítes à venda   Residencial Alto do Ipê,Residencial Alto do Ipe,Zona Sul,3,5,3,184.0,1150000.0,6250.0,8694.05961893228,7019.92781217448
118904,Apartamento de 143m² com 03 suítes à venda   Nova Aliança,Nova Alianca,Zona Sul,3,5,2,143.0,1153000.0,8062.93706293706,7235.27815404702,7019.92781217448
187217,Apartamento de 118m² com 03 suítes à venda   Jardim Saint Gerard,Jardim Saint Gerard,Zona Sul,3,4,2,118.0,1155626.3,9793.44322033898,9516.46996323619,7019.92781217448
187211,Apartamento de 118m² com 03 suítes à venda   Jardim Saint Gerard,Jardim Saint Gerard,Zona Sul,3,4,2,118.0,1155626.3,9793.44322033898,9516.46996323619,7019.92781217448
227678,Apartamento de 153m² com 04 suítes à venda   Jardim Olhos D`Água,Jardim Olhos DAgua,Zona Sul,4,6,3,153.0,1156374.0,7558.0,9706.16858313729,7019.92781217448
217121,Apartamento de 133m² com 03 suítes à venda   Nova Aliança,Nova Alianca,Zona Sul,3,4,2,133.0,1158096.0,8707.48872180451,7235.27815404702,7019.92781217448
191765,Apartamento de 200m² com 05 quartos à venda   Jardim Irajá,Jardim Iraja,Zona Sul,5,5,3,200.0,1160000.0,5800.0,5843.60369977321,7019.92781217448
209111,Apartamento de 139m² com 03 suítes à venda   Jardim Saint Gerard,Jardim Saint Gerard,Zona Sul,3,4,2,139.0,1166000.0,8388.48920863309,9516.46996323619,7019.92781217448
237920,Apartamento de 139m² com 03 suítes à venda   Bosque das Juritis,Bosque das Juritis,Zona Sul,3,5,2,139.0,1170000.0,8417.26618705036,8028.33244392152,7019.92781217448
228143,Apartamento de 80m² com 02 suítes para locação   Jardim Olhos D`Água,Bonfim Paulista,Zona Sul,2,3,2,80.0,1170000.0,14625.0,8197.59279884853,7019.92781217448
242723,Apartamento de 155m² com 03 suítes à venda   Bosque das Juritis,Bosque das Juritis,Zona Sul,3,5,3,155.0,1180000.0,7612.90322580645,8028.33244392152,7019.92781217448
219983,Apartamento de 186m² com 03 suítes à venda   Nova Aliança,Nova Alianca,Zona Sul,4,5,3,186.0,1180000.0,6344.08602150538,7235.27815404702,7019.92781217448
111674,Apartamento de 118m² com 03 suítes à venda   Jardim Saint Gerard,Jardim Saint Gerard,Zona Sul,3,3,2,118.0,1180000.0,10000.0,9516.46996323619,7019.92781217448
238637,Apartamento 126m² com 03 suítes à venda   Alto do Ipê,Residencial Alto do Ipe,Zona Sul,3,4,3,126.0,1190000.0,9444.44444444445,8694.05961893228,7019.92781217448
244712,Casa sobrado de 175m² com 03 suítes para venda   San Marco,Jardim San Marco,Zona Sul,3,4,4,175.0,1200000.0,6857.14285714286,5989.54703832753,7019.92781217448
233594,Apartamento de 131m² com 03 suítes à venda   Jardim Olhos d`Água,Jardim Olhos DAgua,Zona Sul,3,4,3,131.0,1200000.0,9160.30534351145,9706.16858313729,7019.92781217448
228896,Apartamento de 80m² com 02 suítes à venda   Vila do Golfe,Vila do Golf,Zona Sul,2,3,2,80.0,1200000.0,15000.0,9872.36315439169,7019.92781217448
218345,Apartamento de 109m² com 03 suítes para locação   Plazas de España,Plazas de Espana,Zona Sul,3,4,2,109.0,1200000.0,11009.1743119266,10740.3669724771,7019.92781217448
212186,Apartamento de 154m² com 03 suítes à venda   Jardim Olhos D`Água II,Jardim Olhos DAgua,Zona Sul,3,5,3,154.0,1200000.0,7792.20779220779,9706.16858313729,7019.92781217448
207650,Apartamento de 139m² mobilado com 04 quartos   Jardim São Luiz,Jardim Canada,Zona Sul,4,4,2,139.0,1200000.0,8633.09352517986,7006.02337064892,7019.92781217448
204470,Apartamento de 202m² com 03 suítes à venda   Jardim Irajá,Jardim Iraja,Zona Sul,4,6,4,202.0,1200000.0,5940.59405940594,5843.60369977321,7019.92781217448
198779,Apartamento de 202m² com 03 suítes e 03 vagas   Jardim Irajá,Jardim Iraja,Zona Sul,3,5,3,202.0,1200000.0,5940.59405940594,5843.60369977321,7019.92781217448
179318,Apartamento de 108m² com 03 quartos à venda   Jardim Olhos D`Água,Jardim Olhos DAgua,Zona Sul,3,3,2,108.0,1200000.0,11111.1111111111,9706.16858313729,7019.92781217448
170243,Apartamento de 125m² com 03 suítes à venda   Jardim Canadá,Bonfim Paulista,Zona Sul,3,4,3,125.0,1200000.0,9600.0,8197.59279884853,7019.92781217448
111728,Apartamento de 118m² com 03 suítes à venda   Jardim Saint Gerard,Jardim Saint Gerard,Zona Sul,4,3,2,118.0,1200000.0,10169.4915254237,9516.46996323619,7019.92781217448
111671,Apartamento de 118m² com 03 suítes à venda   Jardim Saint Gerard,Jardim Saint Gerard,Zona Sul,4,3,2,118.0,1200000.0,10169.4915254237,9516.46996323619,7019.92781217448
107384,Apartamento de 108m² com 03 quartos para locação e venda   Jardim Olhos D`Água,Jardim Olhos DAgua,Zona Sul,3,3,2,108.0,1200000.0,11111.1111111111,9706.16858313729,7019.92781217448
36107,Apartamento de 228m² com 04 quartos à venda   Jardim Irajá,Jardim Iraja,Zona Sul,4,5,4,228.0,1200000.0,5263.15789473684,5843.60369977321,7019.92781217448
240986,Apartamento de 145m² com 03 suítes planejadas à venda   Jardim Irajá,Jardim Iraja,Zona Sul,3,5,2,145.0,1200000.0,8275.86206896552,5843.60369977321,7019.92781217448
93992,Apartamento de 180m² com 03 suítes para locação e venda   Jardim Irajá,Jardim Iraja,Zona Sul,3,5,3,180.0,1200000.0,6666.66666666667,5843.60369977321,7019.92781217448
229199,Apartamento 154m² com 03 suítes à venda   Jardim Olhos D`Água,Jardim Olhos DAgua,Zona Sul,3,6,3,154.0,1205000.0,7824.67532467533,9706.16858313729,7019.92781217448
223592,Apartamento de 151m² com 03 suítes à venda   Jardim Olhos D`Água,Jardim Olhos DAgua,Zona Sul,3,5,2,151.0,1211830.0,8025.3642384106,9706.16858313729,7019.92781217448
178877,Apartamento de 151m² com 03 suítes à venda   Jardim Olhos D`Água II,Jardim Olhos DAgua,Zona Sul,3,5,2,151.0,1211830.0,8025.3642384106,9706.16858313729,7019.92781217448
227708,Apartamento de 153m² com 03 suítes à venda   Jardim Olhos D`Água,Jardim Olhos DAgua,Zona Sul,3,5,3,153.0,1218186.0,7962.0,9706.16858313729,7019.92781217448
227699,Apartamento de 153m² com 03 suítes à venda   Jardim Olhos D`Água,Jardim Olhos DAgua,Zona Sul,3,5,3,153.0,1218186.0,7962.0,9706.16858313729,7019.92781217448
227681,Apartamento de 153m² com 04 suítes à venda   Jardim Olhos D`Água,Jardim Olhos DAgua,Zona Sul,4,6,3,153.0,1218186.0,7962.0,9706.16858313729,7019.92781217448
223334,Apartamento de 126m² com 03 suítes à venda   Jardim Botânico,Jardim Botanico,Zona Sul,3,5,2,126.0,1219000.0,9674.60317460318,7403.36272123417,7019.92781217448
210167,Apartamento de 132m² com 03 suítes à venda   Jardim Botânico,Jardim Botanico,Zona Sul,3,5,2,132.0,1220000.0,9242.42424242424,7403.36272123417,7019.92781217448
224324,Apartamento térreo de 199m² com 04 quartos sendo 02 suítes à venda   Ribeirânia,Ribeirania,Zona Leste,4,4,2,199.0,1220000.0,6130.65326633166,6622.45012983218,4646.24632076016
201029,Apartamento de 194m² com 03 suítes   Jardim Botânico,Jardim Botanico,Zona Sul,3,5,3,194.0,1223600.0,6307.21649484536,7403.36272123417,7019.92781217448
220700,Apartamento de 126m² com 03 suítes à venda   Jardim Olhos D`Água,Jardim Olhos DAgua,Zona Sul,3,4,2,126.0,1225000.0,9722.22222222222,9706.16858313729,7019.92781217448
203183,Apartamento de 163m² com 03 quartos à venda   Jardim Botânico,Jardim Botanico,Zona Sul,3,4,3,163.0,1230000.0,7546.01226993865,7403.36272123417,7019.92781217448
178871,Apartamento de 151m² com 03 suítes à venda   Jardim Olhos D`Água II,Jardim Olhos DAgua,Zona Sul,3,5,2,151.0,1231133.0,8153.19867549669,9706.16858313729,7019.92781217448
152855,Apartamento de 139m² com 04 quartos à venda   Jardim Canadá,Jardim Canada,Zona Sul,4,4,2,139.0,1242000.0,8935.25179856115,7006.02337064892,7019.92781217448
243818,Apartamento de 132m² com 03 suítes à venda   Jardim Botânico,Jardim Botanico,Zona Sul,3,4,2,132.0,1249000.0,9462.12121212121,7403.36272123417,7019.92781217448
237773,Apartamento de 132m² com 03 suítes à venda   Jardim Botânico,Jardim Botanico,Zona Sul,3,4,2,132.0,1250000.0,9469.69696969697,7403.36272123417,7019.92781217448
224297,Apartamento de 134m² com 03 suítes à venda   Jardim Olhos D`Água,Jardim Olhos DAgua,Zona Sul,3,5,2,134.0,1250000.0,9328.35820895522,9706.16858313729,7019.92781217448
220622,Apartamento de 171m² com 03 suítes à venda   Nova Aliança,Nova Alianca,Zona Sul,3,5,2,171.0,1250000.0,7309.94152046784,7235.27815404702,7019.92781217448
215528,Apartamento de 153m² com 03 suítes à venda   Jardim Olhos D`Água,Jardim Olhos DAgua,Zona Sul,3,5,3,153.0,1250000.0,8169.93464052288,9706.16858313729,7019.92781217448
215432,Apartamento de 252m² com 03 suítes à venda   Centro,Centro,Centro,4,5,3,252.0,1250000.0,4960.31746031746,3969.0889863009,4114.37759196461
210833,Apartamento de 155m² com 03 suítes à venda   Bosque das Juritis,Bosque das Juritis,Zona Sul,3,5,3,155.0,1250000.0,8064.51612903226,8028.33244392152,7019.92781217448
208883,Apartamento de 160m² com 03 suítes para locação   Jardim Botânico,Jardim Botanico,Zona Sul,4,5,3,160.0,1250000.0,7812.5,7403.36272123417,7019.92781217448
126758,Apartamento de 152m² com 03 suítes à venda   Jardim Nova Aliança,Nova Alianca,Zona Sul,3,4,2,152.0,1250000.0,8223.68421052632,7235.27815404702,7019.92781217448
111830,Apartamento   Padrão,Jardim Botanico,Zona Sul,4,4,2,148.0,1250000.0,8445.94594594595,7403.36272123417,7019.92781217448
15812,Apartamento de 289m² com 04 quartos para venda   Centro,Centro,Centro,4,4,4,289.0,1250000.0,4325.25951557093,3969.0889863009,4114.37759196461
163136,Apartamento de 151m² com 03 suítes à venda   Jardim Olhos D`Água,Jardim Olhos DAgua,Zona Sul,3,4,2,151.0,1253964.0,8304.39735099338,9706.16858313729,7019.92781217448
221126,Apartamento de 158m² com 03 suítes à venda   Jardim Olhos D`Água,Jardim Olhos DAgua,Zona Sul,3,5,2,158.0,1259925.0,7974.20886075949,9706.16858313729,7019.92781217448
215969,Apartamento de 83m² com 02 suítes à venda   Jardim Botânico,Jardim Botanico,Zona Sul,2,3,2,83.0,1260000.0,15180.7228915663,7403.36272123417,7019.92781217448
178874,Apartamento de 151m² com 03 suítes à venda   Jardim Olhos D`Água II,Jardim Olhos DAgua,Zona Sul,3,5,2,151.0,1269740.0,8408.87417218543,9706.16858313729,7019.92781217448
182051,Apartamento de 158m² com 03 quartos à venda   Jardim Olhos D`Água II,Jardim Olhos DAgua,Zona Sul,3,5,2,158.0,1271700.0,8048.73417721519,9706.16858313729,7019.92781217448
122006,Apartamento de 103m² com 03 suítes à venda   Jardim Botânico,Jardim Botanico,Zona Sul,3,4,2,103.0,1272000.0,12349.5145631068,7403.36272123417,7019.92781217448
218480,Apartamento mobiliado de 123m² com 02 quartos para locação e venda   Jardim Botânico,Jardim Botanico,Zona Sul,2,4,2,123.0,1275000.0,10365.8536585366,7403.36272123417,7019.92781217448
217625,Apartamento de 109m² com 02 suítes para locação   Jardim Olhos D`Água,Plazas de Espana,Zona Sul,2,4,2,109.0,1275000.0,11697.247706422,10740.3669724771,7019.92781217448
211505,Apartamento de 132m² com 03 suítes à venda   Jardim Botânico,Jardim Botanico,Zona Sul,3,5,2,132.0,1275000.0,9659.09090909091,7403.36272123417,7019.92781217448
194102,Apartamento de alto padrão na alta Fiúsa,Jardim Botanico,Zona Sul,3,5,3,194.0,1279200.0,6593.81443298969,7403.36272123417,7019.92781217448
245654,Apartamento de 158m² com 03 suítes à venda   Jardim Botânico,Jardim Botanico,Zona Sul,3,5,2,158.0,1280000.0,8101.26582278481,7403.36272123417,7019.92781217448
219113,Apartamento de 93m² com 03 suítes à venda   Jardim Botânico,Jardim Botanico,Zona Sul,3,4,2,93.0,1280000.0,13763.4408602151,7403.36272123417,7019.92781217448
216386,Apartamento de 126m² com 03 suítes à venda   Jardim Olhos D`Água,Jardim Olhos DAgua,Zona Sul,3,4,2,126.0,1280000.0,10158.7301587302,9706.16858313729,7019.92781217448
215285,Apartamento de 154m² com 03 suítes à venda   Jardim Olhos D`Água,Jardim Olhos DAgua,Zona Sul,3,5,3,154.0,1280000.0,8311.68831168831,9706.16858313729,7019.92781217448
192377,Apartamento de 180m² com 4 quartos à venda   Bairro Jardim Canadá,Jardim Canada,Zona Sul,4,4,3,180.0,1280000.0,7111.11111111111,7006.02337064892,7019.92781217448
234248,Apartamento 126m² com 03 suítes à venda   Alto do Ipê,Residencial Alto do Ipe,Zona Sul,3,4,3,126.0,1290000.0,10238.0952380952,8694.05961893228,7019.92781217448
229454,Apartamento de 336m² com 04 suítes à venda   Jardim Irajá,Jardim Iraja,Zona Sul,4,7,5,336.0,1290000.0,3839.28571428571,5843.60369977321,7019.92781217448
216833,Apartamento de 155m² com 03 suítes à venda   Residencial Alto do Ipê,Residencial Alto do Ipe,Zona Sul,3,4,3,155.0,1290000.0,8322.58064516129,8694.05961893228,7019.92781217448
201011,Apartamento de 134m² com 03 quartos à venda   Jardim Olhos D`Água,Jardim Olhos DAgua,Zona Sul,3,4,2,134.0,1290000.0,9626.86567164179,9706.16858313729,7019.92781217448
244832,Apartamento de 143m² com 03 suítes à venda   Jardim São Luiz,Jardim Sao Luiz,Zona Sul,3,5,2,143.0,1290000.0,9020.97902097902,5775.49648772587,7019.92781217448
227723,Apartamento de 153m² com 03 suítes à venda   Jardim Olhos D`Água,Jardim Olhos DAgua,Zona Sul,3,5,3,153.0,1295451.0,8467.0,9706.16858313729,7019.92781217448
227717,Apartamento de 153m² com 03 suítes à venda   Jardim Olhos D`Água,Jardim Olhos DAgua,Zona Sul,3,5,3,153.0,1295451.0,8467.0,9706.16858313729,7019.92781217448
227684,Apartamento de 153m² com 04 suítes à venda   Jardim Olhos D`Água,Jardim Olhos DAgua,Zona Sul,4,6,3,153.0,1295451.0,8467.0,9706.16858313729,7019.92781217448
226976,Apartamento de 156m² com 03 suítes para locação   Jardim Botânico,Jardim Botanico,Zona Sul,3,5,3,156.0,1300000.0,8333.33333333333,7403.36272123417,7019.92781217448
218714,Apartamento de 152m² com 04 quartos para locação e venda   Nova Aliança,Nova Alianca,Zona Sul,4,5,3,152.0,1300000.0,8552.63157894737,7235.27815404702,7019.92781217448
